model,prompt_label,n_total,n_pass,pass_rate,ci_lower_95,ci_upper_95,ci_width
gpt-oss-target,Estricto,80,80,100.0,95.4182,100.0,4.5818
gpt-oss-target,Inductor,80,79,98.75,93.2537,99.779,6.5253
gpt-oss-target,Ultra,80,80,100.0,95.4182,100.0,4.5818
llama,Estricto,80,51,63.75,52.8108,73.4292,20.6184
llama,Inductor,80,48,60.0,49.0455,70.0382,20.9927
llama,Ultra,80,35,43.75,33.4139,54.6589,21.245
mistral-target,Estricto,80,72,90.0,81.4893,94.8452,13.3559
mistral-target,Inductor,80,58,72.5,61.8559,81.0822,19.2263
mistral-target,Ultra,80,68,85.0,75.5868,91.206,15.6192
qwen-coder-target,Estricto,80,80,100.0,95.4182,100.0,4.5818
qwen-coder-target,Inductor,80,41,51.25,40.4933,61.8921,21.3988
qwen-coder-target,Ultra,80,80,100.0,95.4182,100.0,4.5818
