model,prompt_label,n_total,n_pass,pass_rate,ci_lower_95,ci_upper_95,ci_width
gpt-oss-target,Estricto,80,79,98.75,93.2537,99.779,6.5253
gpt-oss-target,Inductor,80,77,96.25,89.5453,98.7165,9.1712
gpt-oss-target,Ultra,80,78,97.5,91.3356,99.3117,7.9761
llama,Estricto,80,50,62.5,51.5487,72.3058,20.7571
llama,Inductor,80,45,56.25,45.3411,66.5861,21.245
llama,Ultra,80,39,48.75,38.1079,59.5067,21.3988
mistral-target,Estricto,80,68,85.0,75.5868,91.206,15.6192
mistral-target,Inductor,80,56,70.0,59.2318,78.9354,19.7036
mistral-target,Ultra,80,68,85.0,75.5868,91.206,15.6192
qwen-coder-target,Estricto,80,76,95.0,87.8377,98.0386,10.2009
qwen-coder-target,Inductor,80,42,52.5,41.6956,63.0753,21.3797
qwen-coder-target,Ultra,80,80,100.0,95.4182,100.0,4.5818
