model,prompt_label,avg_score,pass_rate
gpt-oss-target,Estricto,0.9666666666666667,94.44444444444444
gpt-oss-target,Inductor,0.40185185185185185,36.11111111111111
gpt-oss-target,Ultra,0.9851851851851853,99.07407407407408
llama,Estricto,0.6796296296296297,40.74074074074074
llama,Inductor,0.5166666666666666,15.74074074074074
llama,Ultra,0.7759259259259259,55.55555555555556
mistral-target,Estricto,0.5333333333333333,32.407407407407405
mistral-target,Inductor,0.3611111111111111,37.03703703703704
mistral-target,Ultra,0.8037037037037037,77.77777777777779
qwen-coder-target,Estricto,0.7870370370370371,87.03703703703704
qwen-coder-target,Inductor,0.2833333333333333,25.0
qwen-coder-target,Ultra,1.0,100.0
