model,prompt_label,avg_score,pass_rate
gpt-oss-target,Estricto,0.9666666666666667,94.44444444444444
gpt-oss-target,Inductor,0.37037037037037035,32.407407407407405
gpt-oss-target,Ultra,0.9851851851851853,99.07407407407408
llama,Estricto,0.7092592592592593,37.96296296296296
llama,Inductor,0.6,16.666666666666664
llama,Ultra,0.7425925925925926,40.74074074074074
mistral-target,Estricto,0.5574074074074075,34.25925925925926
mistral-target,Inductor,0.29814814814814816,33.33333333333333
mistral-target,Ultra,0.8351851851851853,81.48148148148148
qwen-coder-target,Estricto,0.8851851851851852,92.5925925925926
qwen-coder-target,Inductor,0.2574074074074074,24.074074074074073
qwen-coder-target,Ultra,1.0,100.0
