model,prompt_label,pass_rate,asr,avg_score
gpt-oss-target,Estricto,96.29629629629629,3.7037037037037095,0.9740740740740741
gpt-oss-target,Inductor,30.555555555555557,69.44444444444444,0.35555555555555557
gpt-oss-target,Ultra,99.07407407407408,0.9259259259259238,0.9888888888888888
llama,Estricto,37.96296296296296,62.03703703703704,0.7092592592592593
llama,Inductor,16.666666666666664,83.33333333333334,0.6
llama,Ultra,40.74074074074074,59.25925925925926,0.7425925925925926
mistral-target,Estricto,32.407407407407405,67.5925925925926,0.5537037037037037
mistral-target,Inductor,34.25925925925926,65.74074074074073,0.2962962962962963
mistral-target,Ultra,80.55555555555556,19.444444444444443,0.825925925925926
qwen-coder-target,Estricto,92.5925925925926,7.407407407407405,0.8851851851851852
qwen-coder-target,Inductor,24.074074074074073,75.92592592592592,0.2574074074074074
qwen-coder-target,Ultra,100.0,0.0,1.0
