model,prompt_label,avg_latency_ms
gpt-oss-target,Estricto,26596.404494382023
gpt-oss-target,Inductor,17896.8202247191
gpt-oss-target,Ultra,25480.483146067414
llama,Estricto,786.943820224719
llama,Inductor,1010.1123595505618
llama,Ultra,18667.56179775281
mistral-target,Estricto,1567.1011235955057
mistral-target,Inductor,5846.213483146067
mistral-target,Ultra,1900.8988764044943
qwen-coder-target,Estricto,951.8539325842696
qwen-coder-target,Inductor,1188.7303370786517
qwen-coder-target,Ultra,1400.2696629213483
