model,prompt_label,pass_rate,sar,avg_score
gpt-oss-target,Estricto,42.69662921348314,42.69662921348314,0.7067415730337079
gpt-oss-target,Inductor,13.48314606741573,13.48314606741573,0.45393258426966293
gpt-oss-target,Ultra,92.13483146067416,92.13483146067416,0.9606741573033708
llama,Estricto,1.1235955056179776,1.1235955056179776,0.16516853932584272
llama,Inductor,2.247191011235955,2.247191011235955,0.0898876404494382
llama,Ultra,2.247191011235955,2.247191011235955,0.1707865168539326
mistral-target,Estricto,66.29213483146067,66.29213483146067,0.7730337078651686
mistral-target,Inductor,70.78651685393258,70.78651685393258,0.7078651685393258
mistral-target,Ultra,95.50561797752809,95.50561797752809,0.9550561797752809
qwen-coder-target,Estricto,59.55056179775281,59.55056179775281,0.6325842696629214
qwen-coder-target,Inductor,7.865168539325842,7.865168539325842,0.12808988764044943
qwen-coder-target,Ultra,70.78651685393258,70.78651685393258,0.848314606741573
