strategy,source,model,prompt_label,mean_temp0,mean_temp07,mean_temp1,range_pp,stdev_pp
S3,commercial,deepseek-v3,Estricto,80.899,76.966,79.775,3.933,1.654
S3,commercial,deepseek-v3,Inductor,61.236,65.168,69.101,7.865,3.211
S3,commercial,deepseek-v3,Ultra,98.876,98.876,99.438,0.562,0.265
S3,commercial,haiku,Estricto,98.315,97.191,96.629,1.685,0.701
S3,commercial,haiku,Inductor,92.135,92.697,91.573,1.124,0.459
S3,commercial,haiku,Ultra,96.629,94.944,97.753,2.809,1.154
S3,locals,gpt-oss-target,Estricto,42.135,38.202,40.449,3.933,1.611
S3,locals,gpt-oss-target,Inductor,19.101,17.416,17.978,1.685,0.701
S3,locals,gpt-oss-target,Ultra,92.697,93.258,93.82,1.124,0.459
S3,locals,llama,Estricto,1.124,1.124,1.124,0.0,0.0
S3,locals,llama,Inductor,2.247,1.685,1.685,0.562,0.265
S3,locals,llama,Ultra,3.371,6.18,5.618,2.809,1.214
S3,locals,mistral-target,Estricto,65.73,72.472,71.91,6.742,3.054
S3,locals,mistral-target,Inductor,69.663,65.168,73.596,8.427,3.443
S3,locals,mistral-target,Ultra,96.629,90.449,94.382,6.18,2.554
S3,locals,qwen-coder-target,Estricto,58.427,58.427,57.303,1.124,0.53
S3,locals,qwen-coder-target,Inductor,8.427,12.36,15.73,7.303,2.984
S3,locals,qwen-coder-target,Ultra,70.786,76.966,75.281,6.18,2.608
