model,prompt_label,avg_score,pass_rate
gpt-oss-target,Estricto,0.95,100.0
gpt-oss-target,Inductor,0.9237500000000001,100.0
gpt-oss-target,Ultra,0.965625,100.0
llama,Estricto,0.473125,78.125
llama,Inductor,0.530625,93.125
llama,Ultra,0.43624999999999997,77.5
mistral-target,Estricto,0.7931250000000001,96.875
mistral-target,Inductor,0.5706249999999999,91.25
mistral-target,Ultra,0.77625,96.875
qwen-coder-target,Estricto,0.9199999999999999,98.125
qwen-coder-target,Inductor,0.629375,81.875
qwen-coder-target,Ultra,0.984375,100.0
