model,prompt_label,avg_score,pass_rate
gpt-oss-target,Estricto,0.9740740740740741,97.22222222222221
gpt-oss-target,Inductor,0.40370370370370373,33.33333333333333
gpt-oss-target,Ultra,0.9925925925925926,100.0
llama,Estricto,0.6907407407407407,40.74074074074074
llama,Inductor,0.5518518518518518,14.814814814814813
llama,Ultra,0.7611111111111112,49.074074074074076
mistral-target,Estricto,0.5814814814814815,34.25925925925926
mistral-target,Inductor,0.34074074074074073,34.25925925925926
mistral-target,Ultra,0.825925925925926,77.77777777777779
qwen-coder-target,Estricto,0.7925925925925925,81.48148148148148
qwen-coder-target,Inductor,0.24259259259259258,6.481481481481481
qwen-coder-target,Ultra,1.0,100.0
