strategy,model,comparison,delta_p,delta_p_pct,pass_rate_from,pass_rate_to,ci_lower_from,ci_upper_from,ci_lower_to,ci_upper_to,ci_width_from,ci_width_to
S2_locals,gpt-oss-target,Inductor → Estricto,62.037,62.04%,32.4074,94.4444,24.3167,41.7067,88.4066,97.4292,17.39,9.0226
S2_locals,gpt-oss-target,Inductor → Ultra,66.66669999999999,66.67%,32.4074,99.0741,24.3167,41.7067,94.9407,99.8364,17.39,4.8957
S2_locals,gpt-oss-target,Estricto → Ultra,4.6297,4.63%,94.4444,99.0741,88.4066,97.4292,94.9407,99.8364,9.0226,4.8957
S2_locals,llama,Inductor → Estricto,21.296300000000002,21.30%,16.6667,37.963,10.8105,24.8127,29.3729,47.3799,14.0022,18.007
S2_locals,llama,Inductor → Ultra,24.073999999999998,24.07%,16.6667,40.7407,10.8105,24.8127,31.947,50.1706,14.0022,18.2236
S2_locals,llama,Estricto → Ultra,2.777699999999996,2.78%,37.963,40.7407,29.3729,47.3799,31.947,50.1706,18.007,18.2236
S2_locals,mistral-target,Inductor → Estricto,0.9260000000000019,0.93%,33.3333,34.2593,25.1505,42.6611,25.988,43.6119,17.5106,17.6239
S2_locals,mistral-target,Inductor → Ultra,48.148199999999996,48.15%,33.3333,81.4815,25.1505,42.6611,73.1203,87.68,17.5106,14.5597
S2_locals,mistral-target,Estricto → Ultra,47.222199999999994,47.22%,34.2593,81.4815,25.988,43.6119,73.1203,87.68,17.6239,14.5597
S2_locals,qwen-coder-target,Inductor → Estricto,68.5185,68.52%,24.0741,92.5926,16.9912,32.9379,86.0603,96.199,15.9467,10.1387
S2_locals,qwen-coder-target,Inductor → Ultra,75.9259,75.93%,24.0741,100.0,16.9912,32.9379,96.5653,100.0,15.9467,3.4347
S2_locals,qwen-coder-target,Estricto → Ultra,7.4073999999999955,7.41%,92.5926,100.0,86.0603,96.199,96.5653,100.0,10.1387,3.4347
