model,prompt_label,avg_latency_ms
gpt-oss-target,Estricto,9263.648148148148
gpt-oss-target,Inductor,7271.314814814815
gpt-oss-target,Ultra,5737.231481481482
llama,Estricto,691.5370370370371
llama,Inductor,689.4629629629629
llama,Ultra,595.3981481481482
mistral-target,Estricto,7485.25
mistral-target,Inductor,7275.314814814815
mistral-target,Ultra,2000.7962962962963
qwen-coder-target,Estricto,1549.898148148148
qwen-coder-target,Inductor,1858.6851851851852
qwen-coder-target,Ultra,623.0833333333334
