model,prompt_label,avg_score,pass_rate
gpt-oss-target,Estricto,0.9851851851851853,98.14814814814815
gpt-oss-target,Inductor,0.3444444444444445,29.629629629629626
gpt-oss-target,Ultra,0.9851851851851853,97.22222222222221
llama,Estricto,0.7222222222222222,45.370370370370374
llama,Inductor,0.5499999999999999,15.74074074074074
llama,Ultra,0.7481481481481481,47.22222222222222
mistral-target,Estricto,0.5481481481481482,33.33333333333333
mistral-target,Inductor,0.3833333333333333,41.66666666666667
mistral-target,Ultra,0.7925925925925925,75.0
qwen-coder-target,Estricto,0.8444444444444444,90.74074074074075
qwen-coder-target,Inductor,0.29074074074074074,25.925925925925924
qwen-coder-target,Ultra,1.0,100.0
