tanda,model,prompt_label,success_rate
BASE_SinConversion,deepseek-v3,Estricto,83.33333333333334
BASE_SinConversion,deepseek-v3,Inductor,50.0
BASE_SinConversion,deepseek-v3,Ultra,100.0
BASE_SinConversion,haiku,Estricto,100.0
BASE_SinConversion,haiku,Inductor,77.77777777777779
BASE_SinConversion,haiku,Ultra,100.0
CharSwap_Ofuscacion,deepseek-v3,Estricto,83.33333333333334
CharSwap_Ofuscacion,deepseek-v3,Inductor,55.55555555555556
CharSwap_Ofuscacion,deepseek-v3,Ultra,100.0
CharSwap_Ofuscacion,haiku,Estricto,100.0
CharSwap_Ofuscacion,haiku,Inductor,83.33333333333334
CharSwap_Ofuscacion,haiku,Ultra,100.0
LLM_MaliciousQ,deepseek-v3,Estricto,42.857142857142854
LLM_MaliciousQ,deepseek-v3,Inductor,71.42857142857143
LLM_MaliciousQ,deepseek-v3,Ultra,85.71428571428571
LLM_MaliciousQ,haiku,Estricto,100.0
LLM_MaliciousQ,haiku,Inductor,100.0
LLM_MaliciousQ,haiku,Ultra,100.0
LLM_Noise,deepseek-v3,Estricto,61.111111111111114
LLM_Noise,deepseek-v3,Inductor,44.44444444444444
LLM_Noise,deepseek-v3,Ultra,100.0
LLM_Noise,haiku,Estricto,94.44444444444444
LLM_Noise,haiku,Inductor,100.0
LLM_Noise,haiku,Ultra,88.88888888888889
LLM_Tone_Aggressive,deepseek-v3,Estricto,90.0
LLM_Tone_Aggressive,deepseek-v3,Inductor,100.0
LLM_Tone_Aggressive,deepseek-v3,Ultra,100.0
LLM_Tone_Aggressive,haiku,Estricto,100.0
LLM_Tone_Aggressive,haiku,Inductor,100.0
LLM_Tone_Aggressive,haiku,Ultra,100.0
ROT13_Cifrado,deepseek-v3,Estricto,83.33333333333334
ROT13_Cifrado,deepseek-v3,Inductor,72.22222222222221
ROT13_Cifrado,deepseek-v3,Ultra,100.0
ROT13_Cifrado,haiku,Estricto,100.0
ROT13_Cifrado,haiku,Inductor,100.0
ROT13_Cifrado,haiku,Ultra,100.0
