model,prompt_label,avg_latency_ms
gpt-oss-target,Estricto,37438.426966292136
gpt-oss-target,Inductor,32525.752808988764
gpt-oss-target,Ultra,39705.910112359554
llama,Estricto,934.5168539325842
llama,Inductor,980.056179775281
llama,Ultra,1358.4831460674156
mistral-target,Estricto,1555.4719101123596
mistral-target,Inductor,1892.3483146067415
mistral-target,Ultra,2236.0337078651687
qwen-coder-target,Estricto,1592.1573033707866
qwen-coder-target,Inductor,1432.5842696629213
qwen-coder-target,Ultra,2199.438202247191
