model,prompt_label,avg_score,pass_rate
gpt-oss-target,Estricto,0.7089887640449438,43.82022471910113
gpt-oss-target,Inductor,0.47977528089887644,17.97752808988764
gpt-oss-target,Ultra,0.9719101123595506,95.50561797752809
llama,Estricto,0.17303370786516856,0.0
llama,Inductor,0.0898876404494382,0.0
llama,Ultra,0.20674157303370788,4.49438202247191
mistral-target,Estricto,0.8539325842696629,83.14606741573034
mistral-target,Inductor,0.6719101123595506,64.04494382022472
mistral-target,Ultra,0.9056179775280898,88.76404494382022
qwen-coder-target,Estricto,0.27640449438202247,10.112359550561797
qwen-coder-target,Inductor,0.13258426966292136,4.49438202247191
qwen-coder-target,Ultra,0.9426966292134832,91.01123595505618
