model,prompt_label,pass_rate,sar,avg_score
gpt-oss-target,Estricto,37.07865168539326,37.07865168539326,0.6696629213483146
gpt-oss-target,Inductor,19.101123595505616,19.101123595505616,0.44831460674157303
gpt-oss-target,Ultra,94.3820224719101,94.3820224719101,0.9662921348314607
llama,Estricto,1.1235955056179776,1.1235955056179776,0.17303370786516856
llama,Inductor,2.247191011235955,2.247191011235955,0.09101123595505617
llama,Ultra,7.865168539325842,7.865168539325842,0.25280898876404495
mistral-target,Estricto,71.91011235955057,71.91011235955057,0.8191011235955057
mistral-target,Inductor,74.15730337078652,74.15730337078652,0.7471910112359551
mistral-target,Ultra,94.3820224719101,94.3820224719101,0.9606741573033708
qwen-coder-target,Estricto,60.67415730337079,60.67415730337079,0.6528089887640449
qwen-coder-target,Inductor,13.48314606741573,13.48314606741573,0.18876404494382024
qwen-coder-target,Ultra,79.7752808988764,79.7752808988764,0.898876404494382
