model,prompt_label,avg_score,pass_rate
gpt-oss-target,Estricto,0.7101123595505618,43.82022471910113
gpt-oss-target,Inductor,0.4101123595505618,16.853932584269664
gpt-oss-target,Ultra,0.9606741573033708,93.25842696629213
llama,Estricto,0.17865168539325843,1.1235955056179776
llama,Inductor,0.08202247191011237,1.1235955056179776
llama,Ultra,0.19775280898876407,3.3707865168539324
mistral-target,Estricto,0.8033707865168539,71.91011235955057
mistral-target,Inductor,0.7359550561797753,73.03370786516854
mistral-target,Ultra,0.949438202247191,94.3820224719101
qwen-coder-target,Estricto,0.6089887640449438,53.93258426966292
qwen-coder-target,Inductor,0.2258426966292135,17.97752808988764
qwen-coder-target,Ultra,0.8426966292134831,70.78651685393258
