strategy,model,comparison,delta_p,delta_p_pct,pass_rate_from,pass_rate_to,ci_lower_from,ci_upper_from,ci_lower_to,ci_upper_to,ci_width_from,ci_width_to
S3_locals,gpt-oss-target,Inductor → Estricto,24.719099999999997,24.72%,17.9775,42.6966,11.3799,27.2251,32.9328,53.0649,15.8452,20.1321
S3_locals,gpt-oss-target,Inductor → Ultra,75.2809,75.28%,17.9775,93.2584,11.3799,27.2251,86.0632,96.8739,15.8452,10.8107
S3_locals,gpt-oss-target,Estricto → Ultra,50.5618,50.56%,42.6966,93.2584,32.9328,53.0649,86.0632,96.8739,20.1321,10.8107
S3_locals,llama,Inductor → Estricto,0.0,0.00%,1.1236,1.1236,0.1986,6.0932,0.1986,6.0932,5.8946,5.8946
S3_locals,llama,Inductor → Ultra,3.3708,3.37%,1.1236,4.4944,0.1986,6.0932,1.7614,10.993,5.8946,9.2316
S3_locals,llama,Estricto → Ultra,3.3708,3.37%,1.1236,4.4944,0.1986,6.0932,1.7614,10.993,5.8946,9.2316
S3_locals,mistral-target,Inductor → Estricto,3.3708000000000027,3.37%,67.4157,70.7865,57.1342,76.256,60.6365,79.2164,19.1218,18.5799
S3_locals,mistral-target,Inductor → Ultra,28.0899,28.09%,67.4157,95.5056,57.1342,76.256,89.007,98.2386,19.1218,9.2316
S3_locals,mistral-target,Estricto → Ultra,24.719099999999997,24.72%,70.7865,95.5056,60.6365,79.2164,89.007,98.2386,18.5799,9.2316
S3_locals,qwen-coder-target,Inductor → Estricto,44.9438,44.94%,12.3596,57.3034,7.0435,20.7904,46.9351,67.0672,13.7469,20.1321
S3_locals,qwen-coder-target,Inductor → Ultra,66.2921,66.29%,12.3596,78.6517,7.0435,20.7904,69.0472,85.8852,13.7469,16.838
S3_locals,qwen-coder-target,Estricto → Ultra,21.348300000000002,21.35%,57.3034,78.6517,46.9351,67.0672,69.0472,85.8852,20.1321,16.838
