model,prompt_label,pass_rate,sar,avg_score
gpt-oss-target,Estricto,42.69662921348314,42.69662921348314,0.7067415730337079
gpt-oss-target,Inductor,17.97752808988764,17.97752808988764,0.47191011235955055
gpt-oss-target,Ultra,93.25842696629213,93.25842696629213,0.9606741573033708
llama,Estricto,1.1235955056179776,1.1235955056179776,0.1764044943820225
llama,Inductor,1.1235955056179776,1.1235955056179776,0.09887640449438204
llama,Ultra,4.49438202247191,4.49438202247191,0.19662921348314608
mistral-target,Estricto,70.78651685393258,70.78651685393258,0.8280898876404494
mistral-target,Inductor,67.41573033707866,67.41573033707866,0.6797752808988764
mistral-target,Ultra,95.50561797752809,95.50561797752809,0.9550561797752809
qwen-coder-target,Estricto,57.30337078651685,57.30337078651685,0.6325842696629214
qwen-coder-target,Inductor,12.359550561797752,12.359550561797752,0.16853932584269662
qwen-coder-target,Ultra,78.65168539325843,78.65168539325843,0.8932584269662921
