strategy,source,model,prompt_label,temp,1,2,interrun_range_pp,interrun_stdev_pp
S3,commercial,deepseek-v3,Estricto,0,76.404,85.393,8.989,4.494
S3,commercial,deepseek-v3,Estricto,07,77.528,76.404,1.124,0.562
S3,commercial,deepseek-v3,Estricto,1,78.652,80.899,2.247,1.124
S3,commercial,deepseek-v3,Inductor,0,61.798,60.674,1.124,0.562
S3,commercial,deepseek-v3,Inductor,07,64.045,66.292,2.247,1.124
S3,commercial,deepseek-v3,Inductor,1,73.034,65.168,7.865,3.933
S3,commercial,deepseek-v3,Ultra,0,98.876,98.876,0.0,0.0
S3,commercial,deepseek-v3,Ultra,07,98.876,98.876,0.0,0.0
S3,commercial,deepseek-v3,Ultra,1,98.876,100.0,1.124,0.562
S3,commercial,haiku,Estricto,0,98.876,97.753,1.124,0.562
S3,commercial,haiku,Estricto,07,98.876,95.506,3.371,1.685
S3,commercial,haiku,Estricto,1,96.629,96.629,0.0,0.0
S3,commercial,haiku,Inductor,0,92.135,92.135,0.0,0.0
S3,commercial,haiku,Inductor,07,92.135,93.258,1.124,0.562
S3,commercial,haiku,Inductor,1,92.135,91.011,1.124,0.562
S3,commercial,haiku,Ultra,0,97.753,95.506,2.247,1.124
S3,commercial,haiku,Ultra,07,93.258,96.629,3.371,1.685
S3,commercial,haiku,Ultra,1,95.506,100.0,4.494,2.247
S3,locals,gpt-oss-target,Estricto,0,42.697,41.573,1.124,0.562
S3,locals,gpt-oss-target,Estricto,07,42.697,33.708,8.989,4.494
S3,locals,gpt-oss-target,Estricto,1,37.079,43.82,6.742,3.371
S3,locals,gpt-oss-target,Inductor,0,13.483,24.719,11.236,5.618
S3,locals,gpt-oss-target,Inductor,07,16.854,17.978,1.124,0.562
S3,locals,gpt-oss-target,Inductor,1,19.101,16.854,2.247,1.124
S3,locals,gpt-oss-target,Ultra,0,92.135,93.258,1.124,0.562
S3,locals,gpt-oss-target,Ultra,07,92.135,94.382,2.247,1.124
S3,locals,gpt-oss-target,Ultra,1,94.382,93.258,1.124,0.562
S3,locals,llama,Estricto,0,1.124,1.124,0.0,0.0
S3,locals,llama,Estricto,07,1.124,1.124,0.0,0.0
S3,locals,llama,Estricto,1,1.124,1.124,0.0,0.0
S3,locals,llama,Inductor,0,2.247,2.247,0.0,0.0
S3,locals,llama,Inductor,07,2.247,1.124,1.124,0.562
S3,locals,llama,Inductor,1,2.247,1.124,1.124,0.562
S3,locals,llama,Ultra,0,2.247,4.494,2.247,1.124
S3,locals,llama,Ultra,07,7.865,4.494,3.371,1.685
S3,locals,llama,Ultra,1,7.865,3.371,4.494,2.247
S3,locals,mistral-target,Estricto,0,66.292,65.168,1.124,0.562
S3,locals,mistral-target,Estricto,07,70.786,74.157,3.371,1.685
S3,locals,mistral-target,Estricto,1,71.91,71.91,0.0,0.0
S3,locals,mistral-target,Inductor,0,70.786,68.539,2.247,1.124
S3,locals,mistral-target,Inductor,07,65.168,65.168,0.0,0.0
S3,locals,mistral-target,Inductor,1,74.157,73.034,1.124,0.562
S3,locals,mistral-target,Ultra,0,95.506,97.753,2.247,1.124
S3,locals,mistral-target,Ultra,07,87.64,93.258,5.618,2.809
S3,locals,mistral-target,Ultra,1,94.382,94.382,0.0,0.0
S3,locals,qwen-coder-target,Estricto,0,59.551,57.303,2.247,1.124
S3,locals,qwen-coder-target,Estricto,07,59.551,57.303,2.247,1.124
S3,locals,qwen-coder-target,Estricto,1,60.674,53.933,6.742,3.371
S3,locals,qwen-coder-target,Inductor,0,7.865,8.989,1.124,0.562
S3,locals,qwen-coder-target,Inductor,07,11.236,13.483,2.247,1.124
S3,locals,qwen-coder-target,Inductor,1,13.483,17.978,4.494,2.247
S3,locals,qwen-coder-target,Ultra,0,70.786,70.786,0.0,0.0
S3,locals,qwen-coder-target,Ultra,07,76.404,77.528,1.124,0.562
S3,locals,qwen-coder-target,Ultra,1,79.775,70.786,8.989,4.494
